,0,1,2,pH,label
240,0.2562938204225678,-0.07736237421813662,-0.08885736532486614,3.65,1
248,0.46475876629458585,-0.06011720406109428,-0.11055912504128956,3.65,1
242,0.332887062056988,-0.08739320240941774,-0.07197297874345628,3.65,1
246,0.42992333394321713,-0.06738710767595492,-0.11547981648534855,3.65,1
247,0.4527323784367165,-0.05594399467659943,-0.09589824567054515,3.65,1
259,0.31013654459527223,0.014369880150689105,-0.08346163426320775,3.7,1
251,0.43506504591908207,-0.0032637841317726896,-0.09227047136106412,3.7,1
252,0.45071508343042055,0.017214006837557735,-0.08956801735629674,3.7,1
253,0.43659336396758913,0.009204849404126792,-0.08563729338101192,3.7,1
254,0.4134748850448417,0.015478774282652518,-0.08806603464890227,3.7,1
250,0.46805581897146925,-0.0004587774169387294,-0.10763575232401901,3.7,1
256,0.36256525850503213,0.014653014151098499,-0.072352087691246,3.7,1
257,0.3593076365452646,0.02119896127060727,-0.09332850510599479,3.7,1
258,0.3357752499044113,0.022132875615022737,-0.07027196019044894,3.7,1
255,0.3926794231465287,-0.001644901471739941,-0.07874938614839591,3.7,1
267,0.7453300011679211,-0.080443896853695,-0.08731324437099565,3.75,1
266,0.7466260930002212,-0.120155952877484,-0.08533845860166539,3.75,1
265,0.7188614835881054,-0.12407388008953209,-0.09080998177071518,3.75,1
264,0.6791048161891722,-0.1014144830835646,-0.07775388356595714,3.75,1
263,0.6741596928261139,-0.09807461262985583,-0.09260969508983342,3.75,1
260,0.5814979588347593,-0.12788333543183486,-0.08378970548289479,3.75,1
269,0.77834846879196,-0.06794568215076208,-0.07252128623167238,3.75,1
262,0.6388064294015044,-0.12175250809535824,-0.08525071514595593,3.75,1
261,0.6043453264748977,-0.1263350861883895,-0.07530776913998843,3.75,1
268,0.7761307537051975,-0.0903308853109622,-0.07921484905645869,3.75,1
275,0.8600858062589344,-0.08364825097731743,-0.07686477329485303,3.8,1
272,0.9274005329245428,-0.0708646508395034,-0.08740332249032462,3.8,1
271,0.8963802812482561,-0.06493988900423651,-0.07353696689318011,3.8,1
276,0.8224664801321149,-0.06996921472078353,-0.07346219452741846,3.8,1
277,0.7949040265679034,-0.06946936775255176,-0.0804820002763545,3.8,1
278,0.7430643014794215,-0.055130619984796965,-0.07383208209125429,3.8,1
279,0.6858787481998476,-0.04278397274378142,-0.07100979273340183,3.8,1
274,0.8738224469159414,-0.06820082455891638,-0.06945105340794937,3.8,1
273,0.9378337790413636,-0.061022326825188225,-0.08137023485303244,3.8,1
270,0.9333396459483138,-0.05338964418050672,-0.07287744789223215,3.8,1
10,0.18942528823430368,0.18851896994981487,-0.0669646736125961,3.85,0
19,0.4215418758168492,0.14651941895996973,-0.07922042778690655,3.85,0
18,0.23567284935973531,0.1760839995084261,-0.06872760518777582,3.85,0
17,0.25221617073408603,0.18838382725802744,-0.06037809788979467,3.85,0
11,0.08107024708123999,0.2245671790003443,-0.06489000126736288,3.85,0
15,0.28784690178406086,0.1729687078377121,-0.07459506470547647,3.85,0
14,0.32110506753997825,0.1783245911099321,-0.06691592977830266,3.85,0
13,0.34951965370915206,0.19706302048866167,-0.055352813822600225,3.85,0
16,0.28784690178406086,0.1729687078377121,-0.07459506470547647,3.85,0
12,0.28516519094224624,0.19683447790561892,-0.06348093679844093,3.85,0
289,1.0959719811252,-0.031319684127439615,-0.05190496273201571,3.86,1
287,1.0518707067322606,-0.0530867263290987,-0.0614275409853032,3.86,1
