Channel Wavelength(nm) Current BackGround Spectrum1 
402 667.2 13336 126 13336 
403 667.75 13353 136 13353 
404 668.3 13296 117 13296 
405 668.85 13338 131 13338 
406 669.4 13295 116 13295 
407 669.95 13250 132 13250 
408 670.5 13193 127 13193 
409 671.05 13144 134 13144 
410 671.61 13055 123 13055 
411 672.16 13108 127 13108 
412 672.71 13082 123 13082 
413 673.26 13060 137 13060 
414 673.82 12999 130 12999 
415 674.37 12936 140 12936 
416 674.92 12961 116 12961 
417 675.48 12904 143 12904 
418 676.03 12860 115 12860 
419 676.59 12828 133 12828 
420 677.14 12797 124 12797 
421 677.69 12763 141 12763 
422 678.25 12762 117 12762 
423 678.8 12749 142 12749 
424 679.36 12704 116 12704 
425 679.91 12732 129 12732 
426 680.47 12762 123 12762 
427 681.02 12712 132 12712 
428 681.58 12646 117 12646 
429 682.13 12632 136 12632 
430 682.69 12575 125 12575 
431 683.24 12577 141 12577 
432 683.8 12562 123 12562 
433 684.35 12557 142 12557 
434 684.91 12572 124 12572 
435 685.46 12583 128 12583 
436 686.02 12579 129 12579 
437 686.57 12553 143 12553 
438 687.13 12540 120 12540 
439 687.68 12511 134 12511 
440 688.24 12467 126 12467 
441 688.79 12489 126 12489 
442 689.35 12477 121 12477 
443 689.9 12453 131 12453 
444 690.46 12446 126 12446 
445 691.01 12448 139 12448 
446 691.56 12428 124 12428 
447 692.12 12419 142 12419 
448 692.67 12420 124 12420 
449 693.23 12421 143 12421 
450 693.78 12378 130 12378 
451 694.33 12359 143 12359 
452 694.89 12336 124 12336 
453 695.44 12346 135 12346 
454 695.99 12354 126 12354 
455 696.54 12303 145 12303 
456 697.1 12258 124 12258 
457 697.65 12296 130 12296 
458 698.2 12298 117 12298 
459 698.75 12278 131 12278 
460 699.3 12268 122 12268 
461 699.85 12221 129 12221 
462 700.4 12225 136 12225 
463 700.95 12211 137 12211 
464 701.5 12154 130 12154 
465 702.05 12126 131 12126 
466 702.6 12091 127 12091 
467 703.15 12083 133 12083 
468 703.7 12103 123 12103 
469 704.25 12110 142 12110 
470 704.8 12087 126 12087 
471 705.35 12084 137 12084 
472 705.9 12052 126 12052 
473 706.45 12010 136 12010 
474 707 12007 126 12007 
475 707.54 11955 140 11955 
476 708.09 11913 127 11913 
477 708.64 11960 138 11960 
478 709.19 11914 121 11914 
479 709.74 11868 133 11868 
480 710.29 11815 126 11815 
481 710.83 11769 141 11769 
482 711.38 11746 129 11746 
483 711.93 11714 141 11714 
484 712.48 11687 124 11687 
485 713.03 11650 131 11650 
486 713.57 11610 124 11610 
487 714.12 11590 137 11590 
488 714.67 11506 130 11506 
489 715.22 11480 136 11480 
490 715.77 11421 132 11421 
491 716.31 11414 135 11414 
492 716.86 11361 123 11361 
493 717.41 11339 134 11339 
494 717.96 11306 120 11306 
495 718.5 11284 136 11284 
496 719.05 11213 132 11213 
497 719.6 11210 140 11210 
498 720.15 11174 134 11174 
499 720.7 11084 147 11084 
500 721.24 11011 124 11011 
501 721.79 10958 132 10958 
502 722.34 10933 119 10933 
503 722.89 10900 143 10900 
504 723.44 10877 117 10877 
505 723.99 10851 132 10851 
506 724.54 10835 126 10835 
507 725.08 10769 144 10769 
508 725.63 10716 119 10716 
509 726.18 10715 136 10715 
510 726.73 10703 128 10703 
511 727.28 10681 134 10681 
512 727.83 10671 120 10671 
513 728.38 10631 129 10631 
514 728.93 10611 129 10611 
515 729.48 10560 133 10560 
516 730.03 10500 120 10500 
517 730.58 10439 137 10439 
518 731.13 10404 130 10404 
519 731.68 10365 134 10365 
520 732.23 10292 126 10292 
521 732.78 10261 136 10261 
522 733.34 10234 123 10234 
523 733.89 10212 138 10212 
524 734.44 10144 135 10144 
525 734.99 10139 142 10139 
526 735.54 10066 119 10066 
527 736.1 10054 132 10054 
528 736.65 9982 118 9982 
529 737.2 9938 137 9938 
530 737.75 9902 128 9902 
531 738.3 9875 139 9875 
532 738.86 9880 121 9880 
533 739.41 9819 139 9819 
534 739.96 9782 131 9782 
535 740.52 9753 137 9753 
536 741.07 9701 122 9701 
537 741.62 9628 143 9628 
538 742.17 9562 122 9562 
539 742.73 9540 134 9540 
540 743.28 9499 121 9499 
541 743.83 9438 136 9438 
542 744.39 9381 128 9381 
543 744.94 9367 139 9367 
544 745.49 9291 124 9291 
545 746.05 9270 128 9270 
546 746.6 9184 131 9184 
547 747.15 9126 134 9126 
548 747.71 9089 122 9089 
549 748.26 9035 131 9035 
550 748.81 8961 126 8961 
551 749.36 8881 131 8881 
552 749.92 8885 122 8885 
553 750.47 8800 147 8800 
554 751.02 8754 119 8754 
555 751.58 8697 142 8697 
556 752.13 8723 118 8723 
557 752.68 8669 138 8669 
558 753.23 8639 121 8639 
559 753.79 8588 143 8588 
560 754.34 8529 126 8529 
561 754.89 8476 139 8476 
562 755.44 8398 128 8398 
563 756 8346 137 8346 
564 756.55 8286 126 8286 
565 757.1 8221 135 8221 
566 757.65 8214 132 8214 
567 758.2 8142 141 8142 
568 758.75 8118 122 8118 
569 759.3 8094 136 8094 
570 759.85 8069 120 8069 
571 760.41 8030 138 8030 
572 760.96 7986 117 7986 
573 761.51 7921 134 7921 
574 762.06 7894 124 7894 
575 762.61 7839 146 7839 
576 763.16 7796 126 7796 
577 763.71 7764 138 7764 
578 764.26 7729 127 7729 
579 764.8 7687 140 7687 
580 765.35 7642 120 7642 
581 765.9 7567 136 7567 
582 766.45 7515 122 7515 
583 767 7473 136 7473 
584 767.55 7394 126 7394 
585 768.1 7398 134 7398 
586 768.64 7348 121 7348 
587 769.19 7296 138 7296 
588 769.74 7259 119 7259 
589 770.29 7265 140 7265 
590 770.83 7184 122 7184 
591 771.38 7117 147 7117 
592 771.93 7075 124 7075 
593 772.48 7030 140 7030 
594 773.02 6971 137 6971 
595 773.57 6961 144 6961 
596 774.12 6917 119 6917 
597 774.66 6917 140 6917 
598 775.21 6863 123 6863 
599 775.75 6818 143 6818 
600 776.3 6759 125 6759 
601 776.85 6743 137 6743 
602 777.39 6692 121 6692 
603 777.94 6605 139 6605 
604 778.48 6562 129 6562 
605 779.03 6520 136 6520 
606 779.58 6483 124 6483 
607 780.12 6477 150 6477 
608 780.67 6437 124 6437 
609 781.21 6413 134 6413 
610 781.76 6320 124 6320 
611 782.3 6321 143 6321 
612 782.85 6294 129 6294 
613 783.39 6223 149 6223 
614 783.94 6203 127 6203 
615 784.48 6144 143 6144 
616 785.02 6129 121 6129 
617 785.57 6081 143 6081 
618 786.11 6017 132 6017 
619 786.66 6011 135 6011 
620 787.2 5972 131 5972 
621 787.75 5917 142 5917 
622 788.29 5918 120 5918 
623 788.83 5893 141 5893 
624 789.38 5847 126 5847 
625 789.92 5855 147 5855 
626 790.47 5784 128 5784 
627 791.01 5735 134 5735 
628 791.56 5728 132 5728 
629 792.1 5649 146 5649 
630 792.64 5645 127 5645 
631 793.19 5633 140 5633 
632 793.73 5554 133 5554 
633 794.27 5550 146 5550 
634 794.82 5524 132 5524 
635 795.36 5473 146 5473 
636 795.91 5392 132 5392 
637 796.45 5401 142 5401 
638 796.99 5383 135 5383 
639 797.54 5341 143 5341 
640 798.08 5336 120 5336 
641 798.62 5267 151 5267 
642 799.17 5266 131 5266 
643 799.71 5222 143 5222 
644 800.26 5195 124 5195 
645 800.8 5198 149 5198 
646 801.34 5194 133 5194 
647 801.89 5132 139 5132 
648 802.43 5121 128 5121 
649 802.97 5096 150 5096 
650 803.52 5024 135 5024 
651 804.06 5049 140 5049 
652 804.61 4982 133 4982 
653 805.15 4926 150 4926 
654 805.69 4948 122 4948 
655 806.24 4921 142 4921 
656 806.78 4880 134 4880 
657 807.33 4847 139 4847 
658 807.87 4824 121 4824 
659 808.42 4823 141 4823 
660 808.96 4775 133 4775 
661 809.51 4751 138 4751 
662 810.05 4726 130 4726 
663 810.6 4700 145 4700 
664 811.14 4702 125 4702 
665 811.69 4670 135 4670 
666 812.23 4655 121 4655 
667 812.78 4612 138 4612 
668 813.32 4649 121 4649 
669 813.87 4584 139 4584 
670 814.41 4570 130 4570 
671 814.96 4565 141 4565 
672 815.5 4541 126 4541 
673 816.05 4496 150 4496 
674 816.6 4464 132 4464 
675 817.14 4459 138 4459 
676 817.69 4438 129 4438 
677 818.23 4415 137 4415 
678 818.78 4397 128 4397 
679 819.33 4382 133 4382 
680 819.88 4351 128 4351 
681 820.42 4328 147 4328 
682 820.97 4298 128 4298 
683 821.52 4295 148 4295 
684 822.06 4299 130 4299 
685 822.61 4272 145 4272 
686 823.16 4234 126 4234 
687 823.71 4214 137 4214 
688 824.26 4202 125 4202 
689 824.81 4186 145 4186 
690 825.35 4117 134 4117 
691 825.9 4084 139 4084 
692 826.45 4075 127 4075 
693 827 4026 148 4026 
694 827.55 4003 132 4003 
695 828.1 3981 144 3981 
696 828.65 3989 128 3989 
697 829.2 3993 149 3993 
698 829.75 3961 133 3961 
